UNLOCODE,PORT_NAME,LAT,LON
SCPOV,Port Victoria,4.6167,55.4667
SDPZU,Port Sudan,19.6167,37.2167
SEGOT,Gothenburg (Goteborg),57.7,11.95
SEGVX,Gavle,60.6833,17.1833
SEHAD,Halmstad,56.6667,12.8667
SEKAN,Karlshamn,56.1667,14.8667
SEKLR,Kalmar,56.6667,16.3333
SEMMA,Malmo,55.6167,13.0
SESDL,Sundsvall,62.4167,17.3333
SESOL,Solvesborg,56.05,14.5833
SESTO,Stockholm,59.3167,18.05
SGSIN,Singapore,1.2667,103.8333
SHASI,Georgetown,-7.9333,-14.4167
SHSHN,Jamestown,15.9333,5.7167
SIIZO,Izola,45.5167,13.6833
SIKOP,Koper,45.5167,13.7333
SIPIR,Piran,45.5167,13.6
SLFNA,Freetown,8.5,-13.2333
SLPEP,Pepel,8.5667,-13.05
SNDKR,Dakar,14.6667,-17.4333
SOBBO,Berbera,10.4333,45.0167
SOKMU,Kismayu,0.3833,42.55
SOMER,Merca,1.7167,44.7667
SOMGQ,Mogadishu,2.0167,45.35
SRAGI,Wageningen,5.7667,56.6833
SRICK,Nieuw Nickerie,5.95,56.9833
SRMOU,Moengo,5.65,54.2
SRPBM,Paramaribo,5.8167,55.1667
SRPRM,Paranam,5.6333,55.0833
STSAA,Santo Antonio,1.65,7.45
STTMS,Sao Tome,0.35,6.75
RUKGD,Kaliningrad,54.8833,20.5167
SURYX,Riga,56.9500,24.1000
SVAQJ,Acajutla,13.5833,-89.1667
SVCUT,Cutuco,13.5833,-89.1667
SYBAN,Baniyas,35.25,35.9333
TCGDT,Grand Turk Island,21.4333,-71.1333
TCPLS,Providenciales,21.5,-72.5
TGKPE,Kpeme,6.2,1.5
TGLFW,Lome,6.1333,1.2833
THBKK,Bangkok,13.4333,100.5833
THHKT,Phuket,7.8167,98.4
THLCH,Laem Chabang,13.0833,100.8833
THPAN,Pattani,6.95,101.3
THSAT,Sattahip,12.5833,100.9167
THSGZ,Songkhla,7.2333,100.5833
THSRI,Sriracha,13.1167,100.8667
TNBZ,Bizerte,37.2833,9.9
TNGAE,Gabes,33.95,10.0667
TNIGN,La Goulette,36.8167,10.3
TNSFA,Sfax,34.7333,10.7667
TNSUS,Sousse,35.8333,10.6333
TNTUN,Tunis,36.8167,10.1833
TONEI,Nelafu,18.65,173.9833
TOPAN,Pangai,19.8333,174.3833
TOTBU,Nukualofa,21.1333,175.1833
TRDIK,Dikili,39.0333,26.8333
TRDRC,Derince,40.7333,29.8333
TRGEM,Gemlik,40.4167,29.1167
TRHOP,Hopa,41.4167,41.0000
TRIST,Istanbul,41.0167,28.9833
TRTZX,Trabzon,41.0167,39.7667
TTPTF,Pointe a Pierre,10.3167,-61.4833
TTPTF,Point Fortin,10.2,-61.7
TTPTS,Point Lisas,10.3667,-61.4833
TTSCA,Scarborough,11.1833,-60.7333
TTTEM,Tembladora,10.2500,-61.4000
TVFUN,Funafuti,8.5167,179.2167
TWHUN,Hualien,23.9833,121.6333
TWKEL,Keelung (Chilung),25.15,121.7333
TWKHH,Kaohsiung,22.6333,120.3000
TWSUO,Suao,24.5833,121.85
TWTXG,Taichung,24.2833,120.5
TZDAR,Dar Es Salaam,6.8333,39.2833
TZKIM,Kilwa Masoko,8.9333,39.5167
TZLDI,Lindi,10.0,39.7333
TZMYW,Mtwara,10.2667,40.2
TZPAN,Pangani,5.45,39.0
TZTGT,Tanga,5.0667,39.0
UAERO,Bertyansk,46.75,36.8
UAKHE,Kherson,46.6167,32.6167
UAODS,Odessa,46.5,30.7667
UARNI,Reni,45.4333,28.3
UASVP,Sevastopol,44.6167,33.5333
USAOT,Anacortes,48.5167,-122.6
USBAL,Baltimore,39.2833,-76.5833
USBOS,Boston,42.35,-71.0833
USBPF,Beaumont,30.0833,-94.0833
USBTR,Baton Rouge,30.4667,-91.2
USCHI,Chicago,41.8333,-87.6333
USCHS,Charleston,32.7833,-79.9333
USCLE,Cleveland,41.5167,-81.7167
USCRP,Corpus Christi,27.8,-97.3833
USDET,Detroit,42.3333,-83.0333
USDLH,Duluth-Superior,46.7333,-92.1
USFRP,Freeport,28.95,-95.35
USHNL,Honolulu,21.3167,-157.8667
USHOU,Houston,29.75,-95.3333
USHTS,Huntington - Tri-State (WV),38.6,-95.3333
USILC,Wilmington (NC),34.2333,-77.95
USJAX,Jacksonville,30.3333,-81.6667
USLAX,Los Angeles,33.7167,-118.2833
USLCH,Lake Charles,30.2167,-93.25
USLGB,Long Beach,33.7667,-118.2
USLUA,South Louisiana,30.0,-90.5
USMEE,Manatee,27.5333,-82.5667
USMEM,Memphis,35.0667,-90.1667
USMIA,Miami,25.7667,-80.1667
USMOB,Mobile,30.6667,-88.0333
USMSY,New Orleans,29.95,-90.0667
USNYC,New York/New Jersey,40.7167,-74.0
USOAK,Oakland,37.8333,-122.3
USPDX,Portland (Oregon),45.5,-122.6667
USPEF,Port Everglades,26.0833,-80.1167
USPGL,Pascagoula,30.35,-88.5667
USPHL,Philadelphia,39.95,-75.1667
USPIT,Pittsburgh,40.75,-80.0
USPLA,Plaquemines (Louisiana),30.2167,-91.3
USPOA,Port Arthur,28.8667,-93.9333
USPEF2,Port Everglades,26.1000,-80.1500
USPWM,Portland (Maine),43.65,-70.7333
USRCH,Richmond (CA),37.9333,-122.4167
USRIC,Richmond (VA),37.45,-77.4167
USSAV,Savannah,32.0333,-81.1167
USSEA,Seattle,47.6,-122.3333
USTAC,Tacoma,47.2333,-122.4667
USTPA,Tampa,27.95,-82.4667
USTXT,Texas City,29.3667,-94.8833
USVDZ,Valdez,61.1167,-146.35
USYAK,Yakutat,59.4833,-139.8167
USILM,Wilmington (DE),39.7500,-75.5500
USILG,Wilmington (NC),35.2500,-77.9500
UYFZB,Fray Bentos,33.1,-58.3167
UYMVD,Montevideo,34.9167,-56.2167
UYNVP,Nueva Palmira,33.8667,-58.3333
UYPDU,Paysandu,32.3,-58.1
VCKTN,Kingstown,13.15,-61.2333
VEBJV,Bajo Grande Refinery,10.5167,-71.6
VECUM,Cumana (Puerto Sucre),10.4667,-64.1167
VELAG,La Guaira,10.6333,-67.1167
VELSV,La Salina,10.3667,-71.45
VEMAR,Maracaibo,10.7,-71.65
VEMTV,Matanzas,8.3,-62.8333
VEPBL,Puerto Cabello,10.4833,-68.0167
VEPCN,Punta Cardon,11.6333,-70.2333
VEPCZ,Puerto La Cruz,10.2167,-64.6333
VEPLA,Palua,8.3667,-62.7
VICTD,Christiansted,17.7500,-64.7500
VILIB,Limetree Bay,17.6833,-64.7500
VISTT,St. Thomas,18.3333,-64.9333
VNDAD,Danang,16.1,108.3
VNHON,Hon Gay,20.95,107.1
VNHPH,Haiphong,20.8667,106.6833
VNNHA,Nha Trang,12.2,109.2167
VNSGN,Ho Chi Minh City,10.8333,106.75
VNSON,Son Duong (Lach Huyen),20.8500,106.8000
VUSAN,Santo,15.5167,167.1833
VUVLI,Port Vila,17.75,168.3
YEADE,Aden,12.8,44.9
YEFOA,Al Fazzah,12.7500,44.9167
YEHOD,Hodeldah,14.8,42.9167
YEMKX,Mukalla,14.5167,49.1167
YEMOK,Mokha,13.35,43.2
YEMUK,Mukalla,14.5167,49.1167
ZACPT,Cape Town,33.9,18.4333
ZADUR,Durban,29.8833,31.0333
ZAMZY,Mossel Bay,34.1667,22.15
ZAPLZ,Port Elizabeth,33.95,25.65
ZARCB,Richards Bay,28.8,32.0333
ZASDB,Saldanha Bay,33.0333,17.9667
ZRBNW,Banana,3.4333,15.0000
ZRBOA,Boma,3.2000,15.0500
ZWBEI,Beira Corridor,-19.8333,34.8333
MYLDU,Lahad Datu,5.0136,118.3550
TRISK,Iskenderun,36.6000,36.1800
USASF,Ashtabula,41.9000,-80.8000
ESGIJ,Gijon,43.5500,-5.6667
EGPSE,Port Said East,31.2667,32.3167
CNTXG,Xingang,39.0833,117.3667
AEJEA,Jebel Ali,25.0000,55.0833
CNYTN,Yantian (Shenzhen),22.5667,114.2500
INMUN,Mundra,22.7667,69.7167
OMSUH,Sohar,24.5000,56.6333
LKHBA,Hambantota,6.1333,81.1167
MYPKG,Port Klang North (Westports),3.0000,101.4000
IDJKT,Tanjung Priok Expansion,-6.1000,106.8833
VNSON,Son Duong (Lach Huyen),20.8500,106.8000
PAPAN,Panama Canal (Atlantic),9.3667,-79.9167
PAPAC,Panama Canal (Pacific),8.9167,-79.5833
USLGB2,Long Beach Middle Harbor,33.7667,-118.2167
RUVVO2,Vostochny,42.7333,133.0833
MZPMA,Maputo Expansion,-25.9667,32.5667
TZDAR2,Bagamoyo,-6.4333,38.9000
BRSSZ2,Santos Brasil Terminal,-23.9833,-46.3000
CLSAC,San Antonio Expansion,-33.5833,-71.6167
FRLEH2,Port 2000 (Le Havre),49.4833,0.1167
NLRTM2,Maasvlakte II,51.9500,4.0500
BEZEE2,Zeebrugge Deepwater,51.3333,3.2167
ESVLC2,Valencia Mediterranean Terminal,39.4500,-0.3167
ITGOA2,Vado Ligure,44.2667,8.4333
TRAMB,Ambarli,40.9833,28.6833
EGSOK,Sokhna Port,29.6500,32.3500
SAJED2,King Abdullah Port,22.4167,39.1000
QAHAM,Hamad Port,25.9167,51.5333
INVPT,Visakha Container Terminal,17.6833,83.3000
PKQCT,Qasim International Container Terminal,24.7833,66.9833
BDCGP2,Chittagong New Mooring,22.3167,91.8000
RUPRI,Primorsk,60.3500,28.6167
KZAKT,Aktau,43.6500,51.1667
AZALAT,Alyat,40.0000,49.4667
GTLCT,Lom Container Terminal,6.1333,1.2833
CILOS,San Pedro,5.2333,-3.7333
GHTEM2,Tema Expansion,5.6167,0.0167
NGAPP,Apapa Deepwater,6.4500,3.3667
MAPTM,Tanger Med,35.9000,-5.4833
DZDJZ,Djen Djen,36.8333,5.7667
MRLBR,Monrovia Freeport,6.3333,-10.7833
SNDKR2,Dakar Deepwater,14.6667,-17.4333
TNDJE,Djenein,33.5667,10.7500
ILSOD,Sodom (Dead Sea),31.0000,35.5000
YEFOA,Al Fazzah,12.7500,44.9167
KEMSA,Mombasa New Port,-4.0500,39.6667
TZDAR3,Bagamoyo SEZ,-6.4333,38.9000
MZMAC,Macuse,-16.2500,39.7500
AOLAD2,Luanda New Port,-8.8000,13.2500
GHSEK,Sekondi-Takoradi,4.8833,-1.7500
CMMOU,Moudi,-4.0167,9.6667
GNSNK,Conakry Deepwater,9.5167,-13.7167
SLLUN,Lungi,8.6167,-13.0500
LRBCH,Buchanan Expansion,5.8833,-10.0500
CMKRI,Kribi Deepwater,2.9333,9.9333
TGLFW2,Lomé Expansion,6.1333,1.2833
BJBJO,Boankra,6.7167,-1.5167
ZWBEI,Beira Corridor,-19.8333,34.8333
MZNCZ,Nacala-a-Velha,-14.5167,40.6833
TZTAN,Tanga Expansion,-5.0667,39.1000
KESYV,Shimoni,-4.6500,39.3833
MGANT,Antsiranana,-12.2500,49.2833
MZINH2,Inhambane SEZ,-23.8667,35.4000
SDSAW,Sawakin,19.1000,37.3333
ERMAS,Massawa,15.6167,39.4667
SOBBO2,Berbera Expansion,10.4333,45.0167
DJJBD,Djibouti Doraleh,11.5833,43.0667
KEKPA,Kipini,-2.5167,40.5333
MZPEM,Pemba SEZ,-12.9667,40.5167
TZMTW,Mtwara Expansion,-10.2667,40.2000
GWWIN,Winneba,5.3333,-0.6167
SLPMB,Pepel Expansion,8.5667,-13.0500
GNKMS,Kamsar Expansion,10.6500,-14.6167
CIVIT,San Pedro Expansion,4.7333,-6.6333
TGBUC,Buchanan Expansion,5.8833,-10.0500
MRLBR2,Monrovia Greenfield,6.3167,-10.7833
SNDKR3,Ndayane,14.5000,-17.2333
MZINH3,Inhambane Gas Terminal,-23.8667,35.4000
GTTKR,Takoradi Expansion,4.8833,-1.7500
CMPVN,Port Victoria,-4.6167,55.4500
MUSIR,Sirou,-20.1500,57.5000
MZNCZ2,Nacala LNG Terminal,-14.5167,40.6833
TZTZX,Tanzania Zanzibar,-6.1667,39.1833
KEMTW,Mtwapa,-3.9333,39.7500
ESCAD,Cadiz,36.5167,-6.2667
ESCAR,Cartagena,37.6167,-0.9833
ESCAS,Castellon,39.9667,0.0333
ESHUV,Huelva,37.2667,-6.9333
ESPAS,Pasajes,43.3333,-1.9167
ESSDR,Santander,43.4667,-3.8
ESTAR,Tarragona,41.0833,1.25
ESVGO,Vigo,42.2333,-8.7167
ESVLC,Valencia,39.45,-0.3167
JMOCJ,Ocho Rios,18.4167,-77.9333
PHIGN,Iligan,8.1333,124.2500
TTPOS,Port of Spain,10.65,-61.5333
WSAPW,Apia,13.8333,-171.75
CNLYG,Lianyungang,34.7500,119.4500
CNXIA,Xiamen,24.4500,118.0667
CNYZH,Yangzhou,32.4000,119.4167
CNYNT,Yantai,37.5500,121.4000
CNNSA,Nansha,22.8000,113.6000
CNRZH,Rizhao,35.3833,119.5333
CNWHI,Weihai,37.5000,122.1000
CNWUZ,Wuzhou,23.4833,111.3167
CNZJG,Zhangjiagang,31.8667,120.4333
CNZOS,Zhoushan,30.0167,122.1000
JPUKB,Kobe,34.6833,135.1833
JPNGO,Nagoya,35.0833,136.8833
JPOSA,Osaka,34.6500,135.4333
JPYOK,Yokohama,35.4500,139.6500
KRPTK,Pyeongtaek,36.9833,126.8333
KRUSN,Ulsan,35.5000,129.3833
KRYOS,Yeosu,34.7500,127.7500
MYPKG,Port Klang,3.0000,101.4000
MYTPP,Tanjung Pelepas,1.3667,103.5500
IDBLW,Belawan,3.7833,98.6833
IDMAK,Makassar,-5.1167,119.4167
IDPNJ,Panjang,-5.4667,105.3167
IDPJG,Tanjung Priok,-6.1000,106.8833
THBKK,Bangkok,13.7500,100.5167
THLCH,Laem Chabang,13.0833,100.8833
VNHPH,Haiphong,20.8667,106.6833
VNSGN,Ho Chi Minh City,10.7667,106.7333
VNDAN,Da Nang,16.0667,108.2333
LKCMB,Colombo,6.9500,79.8500
BDCGP,Chittagong,22.3000,91.8000
PKBQM,Port Qasim,24.7667,67.3500
PKKHI,Karachi,24.8500,66.9833
INBOM,Mumbai,18.9500,72.9500
INMAA,Chennai,13.1000,80.2833
INNSA,Nhava Sheva,18.9500,72.9500
INVTZ,Visakhapatnam,17.6833,83.2333
INCOK,Kochi,9.9667,76.2667
INIXE,Mundra,22.7500,69.7000
AEJEA,Jebel Ali,25.0167,55.0667
AEKLF,Khor Fakkan,25.3500,56.3667
AEFJR,Fujairah,25.1167,56.3500
SADMM,Dammam,26.4333,50.1000
SAJED,Jeddah,21.4833,39.1833
OMSLR,Salalah,17.0167,54.0833
QADOH,Doha,25.2833,51.5333
KWSWK,Shuwaikh,29.3500,47.9333
IRBND,Bandar Abbas,27.1333,56.2167
IQBSR,Basra,30.5167,47.8167
IQUMQ,Umm Qasr,30.0333,47.9333
EGALY,Alexandria,31.1833,29.9167
EGPSD,Port Said,31.2667,32.3000
EGDAM,Damietta,31.4667,31.7500
MAAGA,Agadir,30.4167,-9.6167
MACAS,Casablanca,33.6000,-7.6167
MAPTM,Tanger Med,35.8833,-5.5000
ZADUR,Durban,-29.8667,31.0500
ZACPT,Cape Town,-33.9167,18.4333
KEMBA,Mombasa,-4.0500,39.6667
TZDAR,Dar es Salaam,-6.8167,39.2833
NGAPP,Apapa,6.4500,3.3667
NGTIN,Tin Can Island,6.4333,3.3500
CIABJ,Abidjan,5.2500,-4.0167
GHTEM,Tema,5.6167,0.0167
SNDKR,Dakar,14.6833,-17.4500
AOLAD,Luanda,-8.8333,13.2333
MZMPM,Maputo,-25.9667,32.5667
MZBEW,Beira,-19.8333,34.8333
TZZAN,Zanzibar,-6.1667,39.2000
DJJIB,Djibouti,11.6000,43.1333
AUBNE,Brisbane,-27.4667,153.0333
AUMEL,Melbourne,-37.8500,144.9333
AUSYD,Sydney,-33.8667,151.2000
AUFRE,Fremantle,-32.0500,115.7500
AUADL,Adelaide,-34.9333,138.5000
NZAKL,Auckland,-36.8500,174.7667
NZWLG,Wellington,-41.2833,174.7833
NZLYT,Lyttelton,-43.6000,172.7167
PAPAC,Balboa,8.9500,-79.5667
PACTB,Cristobal,9.3500,-79.9167
JMKIN,Kingston,17.9667,-76.8000
DOMUC,Caucedo,18.4167,-69.6333
DOHAI,Rio Haina,18.4167,-70.0000
BSBAH,Freeport,26.5167,-78.7667
BSNAS,Nassau,25.0833,-77.3500
CUHAV,Havana,23.1333,-82.3500
CUMZO,Manzanillo,20.3333,-77.1167
SVAQJ,Acajutla,13.5833,-89.8333
SVCUT,La Union,13.3333,-87.8167
GTPBR,Puerto Barrios,15.7167,-88.5833
HNPCR,Puerto Cortes,15.8333,-87.9500
NICLF,Corinto,12.4833,-87.1667
PAONX,Colon,9.3667,-79.9000
PECLL,Callao,-12.0500,-77.1500
CLVAP,Valparaiso,-33.0333,-71.6167
CLSAI,San Antonio,-33.5833,-71.6167
ARBUE,Buenos Aires,-34.6000,-58.3667
BRSSZ,Santos,-23.9500,-46.3000
BRRIO,Rio de Janeiro,-22.9000,-43.2000
BRPNG,Paranagua,-25.5000,-48.5000
BRFOR,Fortaleza,-3.7167,-38.4833
BRPEC,Pecém Port,-3.5333,-38.7833
BRVDC,Vitória do Conquista,-14.8667,-40.8333
OMSLL,Salalah,17.0167,54.0833
IDBIT,Bitung,1.4500,125.1833
IDBPN,Balikpapan,-1.2500,116.8333
ESALG,Algeciras,36.1167,-5.4500
PAMIT,Mitú,1.2000,-70.1667
BRIGI,Ilhéus,-14.7833,-39.0500
MMTLA,Thilawa,16.8500,96.0167
PABLB,Balboa,8.95606,-79.56777
ECPSJ,Posorja,-2.70815,-80.24097
TRCKZ,Canakkale,40.15,26.40
TRKFZ,Izmit Korfezi,40.75,29.75
TRIZM,Izmir,38.44,27.15
FRFOS,Fos sur Mer,43.40,4.89
ISGRT,Grundartangi,64.36,-21.77
ESLEI,Almeria,36.83,-2.46
PYTER,Asuncion Terport Villeta,-25.61,-57.61
BRITJ,Itajai,-26.9078,-48.6620
TRUSK,Uskudar,41.0200,29.0500
TRAMR,Ambarli,40.9667,28.6833
LYKHO,Khoms,32.6500,14.2667
GBSSH,South Shields,54.9986,-1.4323
DOCAU,Caucedo,18.4244,-69.6292
PACSO,Coco Solo,9.3667,-79.8833
GBLGP,London Gateway,51.5053,0.4903
PAPCN,Panama Canal,9.0677,-79.6703
ITCVV,Civitavecchia,42.0990,11.7820
USEWR,Newark,40.6833,-74.1500
CRPTC,Puerto Caldera,9.9127,-84.7181
AERKT,Ras Al Khaimah,25.6667,55.6000
BZBGK,Big Creek,16.5167,-88.3667
SEHEL,Helsingborg,56.0500,12.7000
LVRIX,Riga,56.9500,24.1000
PKKIA,Kiamari Karachi,24.8167,66.9833
ITCAG,Cagliari,39.2500,9.0833
KRKAN,Gwangyang,34.7333,127.7500
VNVUT,Vung Tau,10.3500,107.0667
CNSHK,Shekou,22.4667,113.8833
MXATM,Altamira,22.4000,-97.9333
CDMAT,Matadi,-5.8167,13.4500
KHKOS,Sihanoukville,10.6333,103.5000
BHKBS,Bahrain,26.1500,50.6167
KWSAA,Shuaiba,29.0333,48.1333
ESALC,Alicante,38.3500,-0.4833
INPPV,Pipavav,20.9167,71.5167
SEAHU,Aarhus,56.1500,10.2167
JPTOY,Toyama,36.7667,137.2167
JPKIJ,Niigata,37.9333,139.0500
UAILK,Chornomorsk,46.3000,30.6667
IDTRK,Tarakan,3.3167,117.6000
SGTUAS,Tuas Mega Terminal,1.3167,103.6500
MYPKG2,Port Klang North (Westports),3.0000,101.4000
